MainData[UniqueID],MainData[RenewalYearMonth],MainData[Shoppers],MainData[Switchers],MainData[PreRenewalCompany],MainData[SurveyYearMonth],MainData[CurrentCompany],MainData[Renewal premium change],MainData[How much higher],MainData[How much lower],MainData[Gender],MainData[Region],MainData[Are you insured],MainData[Claimants],MainData[Did you use a PCW for shopping],MainData[StartedDateTime],MainData[Age Group],MainData[Employment status],MainData[Renewal  premium change combined],MainData[SortOrder],MainData[Retained],[SumSortOrder],[SumRenewal_premium_lower_value],[SumRenewal_premium_higher_value]
40761,202502,Shoppers,Non-switcher,AA,202504,AA,Higher,£21 to £30 a year,,Female,Midlands,Yes,Non-Claimant,Yes,16/04/2025 07:42,18-24,Full time employed,Higher by £21 to £30 a year,16,Retained,16,,25.5
40821,202501,Shoppers,Switcher,Saga,202504,Aviva,Higher,£31 to £40 a year,,Male,Midlands,Yes,Claimant,Yes,16/04/2025 09:56,65+,Retired,Higher by £31 to £40 a year,17,Switcher,17,,35.5
40824,202502,Shoppers,Non-switcher,Swinton,202504,Swinton,Higher,£31 to £40 a year,,Female,South East,Yes,Non-Claimant,Yes,16/04/2025 09:57,55-64,Houseperson,Higher by £31 to £40 a year,17,Retained,17,,35.5
40884,202501,Shoppers,Non-switcher,Churchill,202504,Churchill,It was unchanged,,,Male,London,Yes,Non-Claimant,Yes,16/04/2025 12:22,35-44,Full time employed,Unchanged,13,Retained,13,,
40941,202501,Shoppers,Switcher,Admiral,202504,Aviva,It was unchanged,,,Male,North East & Yorkshire,Yes,Claimant,Yes,16/04/2025 16:59,65+,Full time employed,Unchanged,13,Switcher,13,,
40962,202501,Shoppers,Switcher,AXA,202504,Age UK,It was unchanged,,,Male,Midlands,Yes,Claimant,No,16/04/2025 19:42,35-44,Full time employed,Unchanged,13,Switcher,13,,
40989,202504,Shoppers,Switcher,AA,202504,Admiral,Higher,£21 to £30 a year,,Female,South West,Yes,Non-Claimant,Yes,16/04/2025 20:08,25-34,Full time employed,Higher by £21 to £30 a year,16,Switcher,16,,25.5
41028,202503,Shoppers,Switcher,By Miles,202504,RAC,Higher,£126 to £150 a year,,Male,East Anglia,Yes,Claimant,Yes,16/04/2025 20:32,55-64,Retired,Higher by £126 to £150 a year,22,Switcher,22,,138
41064,202503,Shoppers,Non-switcher,Aviva,202504,Aviva,Higher,£51 to £75 a year,,Male,South East,Yes,Claimant,Yes,16/04/2025 21:24,65+,Retired,Higher by £51 to £75 a year,19,Retained,19,,63
41088,202503,Shoppers,Switcher,Dial Direct,202504,RAC,Higher,£76 to £100 a year,,Male,East Anglia,Yes,Non-Claimant,Yes,16/04/2025 21:48,25-34,Full time employed,Higher by £76 to £100 a year,20,Switcher,20,,88
41148,202501,Shoppers,Non-switcher,Aviva,202504,Aviva,Higher,£151 to £250 a year,,Female,Midlands,Yes,Claimant,Yes,17/04/2025 14:25,25-34,Full time employed,Higher by £151 to £250 a year,23,Retained,23,,200.5
41154,202502,Shoppers,Non-switcher,One Call,202504,One Call,Lower,,£21 to £30 a year,Male,South West,Yes,Non-Claimant,Yes,17/04/2025 14:29,65+,Retired,Lower by £21 to £30 a year,10,Retained,10,25.5,
41160,202503,Non-shoppers,New-to-market,Admiral,202504,Admiral,I didn’t have a motor insurance policy before my recent renewal/purchase,,,Female,South East,Yes,Non-Claimant,,17/04/2025 14:30,45-54,Houseperson,Unchanged,13,New-to-market,13,,
41190,202502,Non-shoppers,Non-switcher,NFU Mutual,202504,NFU Mutual,It was unchanged,,,Male,Midlands,Yes,Claimant,,17/04/2025 14:39,45-54,Self employed,Unchanged,13,Retained,13,,
41280,202501,Shoppers,Non-switcher,Churchill,202504,Churchill,Lower,,£31 to £40 a year,Male,Wales,Yes,Claimant,Yes,17/04/2025 15:48,65+,Retired,Lower by £31 to £40 a year,9,Retained,9,35.5,
41331,202502,Non-shoppers,Non-switcher,1st Central,202504,1st Central,Higher,£101 to £125 a year,,Female,North West,Yes,Non-Claimant,,17/04/2025 19:01,25-34,Part time employed,Higher by £101 to £125 a year,21,Retained,21,,113
41337,202503,Shoppers,Switcher,RAC,202504,Dial Direct,Lower,,£31 to £40 a year,Male,Midlands,Yes,Non-Claimant,Yes,17/04/2025 19:29,55-64,Full time employed,Lower by £31 to £40 a year,9,Switcher,9,35.5,
41394,202503,Shoppers,Non-switcher,Aviva,202504,Aviva,It was unchanged,,,Female,Midlands,Yes,Non-Claimant,Yes,18/04/2025 08:25,35-44,Full time employed,Unchanged,13,Retained,13,,
41397,202503,Shoppers,Non-switcher,LV,202504,LV,Higher,£76 to £100 a year,,Male,Midlands,Yes,Claimant,Yes,18/04/2025 08:25,45-54,Full time employed,Higher by £76 to £100 a year,20,Retained,20,,88
41427,202503,Non-shoppers,Non-switcher,Churchill,202504,Churchill,Higher,£101 to £125 a year,,Male,Midlands,Yes,Claimant,,18/04/2025 08:38,65+,Full time employed,Higher by £101 to £125 a year,21,Retained,21,,113
41430,202503,Non-shoppers,Non-switcher,Admiral,202504,Admiral,Lower,,£31 to £40 a year,Female,Wales,Yes,Non-Claimant,,18/04/2025 08:38,55-64,Retired,Lower by £31 to £40 a year,9,Retained,9,35.5,
41448,202501,Shoppers,Non-switcher,AA,202504,AA,Lower,,Over £350 a year,Female,Midlands,Yes,Claimant,No,18/04/2025 08:43,25-34,Part time employed,Lower by Over £350 a year,1,Retained,1,400.5,
41469,202501,Shoppers,Non-switcher,Sheilas' Wheels,202504,Sheilas' Wheels,Lower,,£11 to £20 a year,Female,Midlands,Yes,Claimant,Yes,18/04/2025 08:47,45-54,Full time employed,Lower by £11 to £20 a year,11,Retained,11,15.5,
41484,202501,Non-shoppers,Non-switcher,Admiral,202504,Admiral,It was unchanged,,,Male,Scotland,Yes,Claimant,,18/04/2025 08:49,25-34,Full time employed,Unchanged,13,Retained,13,,
41526,202504,Shoppers,Switcher,Admiral,202504,Aviva,Lower,,£126 to £150 a year,Female,Midlands,Yes,Non-Claimant,Yes,18/04/2025 08:51,18-24,Full time employed,Lower by £126 to £150 a year,4,Switcher,4,138,
41577,202502,Non-shoppers,Non-switcher,AA,202504,AA,Higher,£11 to £20 a year,,Female,North East & Yorkshire,Yes,Non-Claimant,,18/04/2025 09:24,45-54,Self employed,Higher by £11 to £20 a year,15,Retained,15,,15.5
41586,202503,Non-shoppers,Non-switcher,Policy Expert,202504,Policy Expert,Higher,£31 to £40 a year,,Male,South West,Yes,Non-Claimant,,18/04/2025 10:18,65+,Retired,Higher by £31 to £40 a year,17,Retained,17,,35.5
41604,202501,Non-shoppers,Non-switcher,AA,202504,AA,It was unchanged,,,Male,London,Yes,Non-Claimant,,18/04/2025 10:42,55-64,Full time employed,Unchanged,13,Retained,13,,
41622,202502,Shoppers,Switcher,Aviva,202504,Hastings,Higher,£21 to £30 a year,,Male,South East,Yes,Non-Claimant,Yes,18/04/2025 10:44,25-34,Self employed,Higher by £21 to £30 a year,16,Switcher,16,,25.5
41652,202501,Non-shoppers,Non-switcher,Admiral,202504,Admiral,Lower,,£41 to £50 a year,Male,East Anglia,Yes,Non-Claimant,,18/04/2025 11:04,45-54,Full time employed,Lower by £41 to £50 a year,8,Retained,8,45.5,
41739,202501,Shoppers,Non-switcher,Aviva,202504,Aviva,Higher,£126 to £150 a year,,Female,South East,Yes,Claimant,Yes,18/04/2025 11:33,25-34,Full time employed,Higher by £126 to £150 a year,22,Retained,22,,138
41745,202501,Shoppers,Switcher,Aviva,202504,Ford,It was unchanged,,,Female,Scotland,Yes,Claimant,Yes,18/04/2025 11:36,35-44,Part time employed,Unchanged,13,Switcher,13,,
41751,202504,Non-shoppers,Non-switcher,LV,202504,LV,Higher,£31 to £40 a year,,Male,North East & Yorkshire,Yes,Claimant,,18/04/2025 11:39,55-64,Full time employed,Higher by £31 to £40 a year,17,Retained,17,,35.5
